species,sex,ID,color_band,trt,section,site,date,year,nest,age,stage,light,lux,LAeq,LZeq,LAF90,LAeq_N,mass,tarsus,wing,tail,eye,bill.l,bill.tn,bill.d,bill.w,muscle,fat,cp_score,measurer,nb_date,egg_date,
MOBL,F,2821-25062,RS-RR,Light,yellow,CP12,4/11/24,2024,CP12B12,AHY,TE,Y,0.55,34.7,72.2,26.7,36.4,27.5,22.8,112,63,7.2,11,10.2,4.25,5.9,3,1,,SL,5/1/24,5/13/24,
MOBL,M,3011-08006,OO-WS,Light,red,PC13,7/18/24,2024,PC13B1-nest2,AHY,Chx,Y,1.26,36.4,65.9,33.5,35.85,,22.7,115,76,5.89,12.8,11.4,4.7,6.75,2,0,,JP,,6/24/24,
MOBL,F,2821-25064,OR-RS,Light,green,PC6,6/4/24,2024,PC6B1,AHY,Chx,Y,0.47,39.8,70.7,33.9,39.8,23.76,,,,,,,,,1,0,,TP,,,
MOBL,M,3011-18091,GS-GO,Control,red,CP08,4/23/25,2025,CP08B9,ASY,TE,N,0,40.7,64.6,39.1,46.3,25.51,21,113.5,76,4.6,12.7,9.6,4.1,4.5,2,0,3,TV,4/17/25,,
MOBL,M,3011-18086,YS-YY,Light,yellow,CP12,4/12/25,2025,CP12B13,ASY,TE,Y,0,31.9,72.5,28.7,34,26.47,23,117,82,4.7,12.7,9.7,3.8,4.5,4,1,3,TV,4/12/25,4/19/25,
MOBL,F,3011-18100,BS-WG,Light,yellow,CP12,5/12/25,2025,CP12B4,ASY,Eggs,Y,0,31.6,65.7,29.5,31.6,30.65,20.7,110,69,6.1,11.2,8.7,4,4.6,2,0,,TP,4/10/25,5/3/25,
MOBL,F,3011-18038,GM-KS,Light,green,PC6,5/21/25,2025,PC6B6,ASY,Eggs,Y,0.19,35.1,63.8,32.9,32.34,31.84,23.6,108,62,7.2,13,9.8,4.4,5.3,2,0,,EM,5/5/25,5/9/25,
MOBL,F,3011-18066,BO-YS,Light+Noise,green,TP07,5/29/25,2025,TP07B11,ASY,Eggs,Y,1.09,34.9,62,33,31,30.01,22.2,110,70,5.2,13.9,10.1,4.4,5.5,2,2,0,TV,5/1/25,5/15/25,
MOBL,F,2821-25062,RS-RR,Light,yellow,CP12,4/9/25,2025,CP12B12,ASY,TE,Y,0.76,33.3,26.8,26.3,33.3,27.86,22,113,72,6.1,13.5,10.8,4.2,5.7,2,1,,TV,4/24/25,5/6/25,
WEBL,F,2791-95508,,Light+Noise,orange,TP04,5/5/18,2018,TP04B2,AHY,Eggs,Y,0,50.8,,,50.8,31.2,20.1,99,,,11.4,,,4.1,,2,,JP,,4/27/18,
