species,sex,ID,color_band,trt,section,site,date,year,nest,age,stage,light,lux,LAeq,LZeq,LAF90,LAeq_N,mass,tarsus,wing,tail,eye,bill.l,bill.tn,bill.d,bill.w,muscle,fat,cp_score,measurer,nb_date,egg_date,
ATFL,M,2921-17882,RR-KS,Noise,red,PT15,5/12/25,2025,,ASY,TE,N,0,40,65.7,38.4,,27.27,22.8,103.5,104,4.6,18.2,16,6.1,7.2,4,0,0,TV,,,
ATFL,M,2921-49606,YG-OS,Noise,yellow,TP11,6/11/25,2025,TP11B2,ASY,Eggs,N,0,25.1,56.8,23.9,39.6,28,23.35,101,98,5.15,20.6,16.05,5.7,7.25,3,0,0,TV,5/27/25,5/29/25,
ATFL,M,2921-49664,OK-GS,Light,pink,PC1,5/15/25,2025,PC1B9,AHY,TE,Y,2.14,35.4,64.3,29.5,27.85,26.6,22.9,103,99,5,17.4,13.9,5.5,7.3,2,0,2,AR,5/13/25,,
ATFL,M,2921-17898,BS-WB,Control,pink,PC1,6/26/25,2025,PC1B8,AHY,Eggs,N,0,28.1,62.6,25.1,29.98,27.12,22.5,100,100,4.75,20.5,17,5.55,7.3,3,1,,TV,6/6/25,6/10/25,
ATFL,M,2921-49669,RO-KS,Light,green,PC6,5/28/25,2025,,ASY,TE,Y,,27.1,58.3,26.1,,28.85,23.4,100.5,97,5.1,20.8,15.5,6,7.3,3,0,,TV,,,
ATFL,M,2921-49680,OK-BS,Light+Noise,red,PT14,6/11/25,2025,PT14B10,ASY,Eggs,Y,0.43,53.8,71,52.4,48.76,27.51,23.5,101.5,91,4.6,19.7,15.7,6.1,7.3,2,0,0,TV,5/21/25,5/29/25,
ATFL,M,2921-17885,YS-YY,Control,blue,CP02,6/6/25,2025,CP02B1,ASY,Eggs,N,0,32.2,63.4,30.4,31.5,29.38,24.9,101.5,98,5.3,16.9,16.2,6.3,7.3,3,0,0,CM,5/17/25,5/23/25,
ATFL,F,2921-17874,KS-BB,Control,pink,CP10,6/9/25,2025,CP10B7,AHY,Eggs,N,0,42.4,69.4,40.7,40.27,21.8,23.7,100,95,5.2,18.2,15.1,6.3,7.3,4,0,0,CM,5/23/25,5/28/25,
ATFL,M,2921-17899,GS-KO,Light,orange,CP04,6/26/25,2025,CP04B13,ASY,Chx,Y,1.7,28.5,62.1,26.1,33.26,26.48,22.5,100,99,5,19.1,16,5.9,7.35,2,0,,TV,5/22/25,5/25/25,
ATFL,M,2921-49681,RR-YS,Light+Noise,red,PT14,6/11/25,2025,,ASY,Eggs,Y,,53.8,71,52.4,,27.93,22.2,100,95,5.3,18.55,15.4,5.95,7.35,3,1,0,TV,,,
ATFL,M,3251-02916,BG-RS,Noise,red,PT15,6/9/25,2025,PT15B7,ASY,Eggs,N,0,34.1,69.6,31,38.1,24.11,20.7,98,95,4.8,18.25,15.3,5.8,7.4,3,1,0,TV,5/24/25,5/29/25,
ATFL,F,2921-17883,WW-WS,Light,orange,CP04,6/10/25,2025,CP04B13,AHY,Eggs,Y,1.7,24.4,70.8,21.8,33.26,27.06,22,100.5,91,5.2,17.5,15.2,5.8,7.45,2,0,0,AR,5/22/25,5/25/25,
ATFL,M,2921-49675,GO-GS,Control,green,CP05,6/6/25,2025,,AHY,Eggs,N,0,31.1,57.2,28.5,,29.43,22.6,103,92,5.3,17.8,12.5,5.7,7.5,2,0,0,IW,,,
ATFL,M,2921-17881,YS-RR,Light,red,PC13,5/4/25,2025,,ASY,TE,Y,,37,65.4,34,,28.58,22.2,98,95,4.7,18.4,14.8,6,7.5,4,0,,TV,,,
ATFL,F,2921-17886,KS-OO,Light+Noise,blue,TP02,7/3/25,2025,TP02B13,SY,Chx,Y,0.66,38.1,54.3,34.5,39.05,23.99,22.6,94,95,4.8,18.5,14.4,6,7.5,1,0,,TV,5/21/25,6/5/25,
ATFL,M,2921-49660,YY-OS,Control,pink,CP10,6/25/25,2025,CP10B6,ASY,Eggs,N,0,36.2,69,34.9,29.08,28.74,23.15,105.5,100,5.6,17,14.85,6,7.6,3,0,0,AR,5/30/25,6/10/25,
ATFL,F,2921-49668,WS-WW,Light+Noise,blue,TP02,5/24/25,2025,TP02-ATFL-250610-1230-TV,ASY,TE,Y,0,34,59.6,26.8,,28.73,22,95,90,5.3,17.7,14.75,6,7.6,3,1,0,TV,,,
ATFL,F,2921-49665,BW-WS,Light+Noise,blue,TP02,5/16/25,2025,TP02B3,ASY,TE,Y,0.66,33.8,68.8,30.1,43.7,29.11,22.7,102,91,5.6,16.4,14.4,6.1,7.6,2,0,0,TP,6/5/25,6/11/25,
ATFL,M,2921-49670,WW-GS,Light,green,PC6,5/28/25,2025,,ASY,TE,Y,,27.1,58.3,26.1,,28.56,22.7,100.5,97,4.6,19.8,16.1,5.7,7.65,4,0,0,TV,,,
ATFL,M,2921-49683,GY-KS,Control,orange,CP06,6/11/25,2025,CP06B6,ASY,Eggs,N,0,24.3,66.4,22,28.25,28.69,23.5,98.5,94,4.55,19,16.3,5.5,7.7,3,0,0,TV,5/27/25,5/30/25,
ATFL,M,3251-02969,GS-OY,Light+Noise,blue,TP02,7/3/25,2025,TP02B13,ASY,Chx,Y,0.66,38.1,54.3,,39.05,26.44,23.15,99,97,5.15,18.35,15,5.7,7.7,2,0,,TV,5/21/25,6/5/25,
ATFL,M,2921-49667,RS-BB,Light+Noise,blue,TP02,5/24/25,2025,TP02-ATFL-250610-1230-TV,ASY,TE,Y,0,34,59.6,26.8,,28.41,23.1,102,100,5,19.05,15.4,6.2,7.7,3,0,0,TV,,,
ATFL,M,2921-49674,GK-OS,Control,green,CP05,6/6/25,2025,,AHY,Eggs,N,0,31.1,57.2,28.5,,29.07,21.9,104,99,5.5,16.9,14.6,6.3,7.7,2,0,1,TP,,,
ATFL,F,2921-49666,WS-GG,Light,pink,PC1,5/22/25,2025,PC1B1,ASY,TE,Y,0.3,24.5,62.9,22.3,24.9,28.36,22.95,96.5,95,5.05,17.7,14.4,5.9,7.8,3,0,0,TV,5/13/25,,
ATFL,F,2921-17883,WW-WS,Light,orange,CP04,6/26/25,2025,CP04B13,ASY,Chx,Y,1.7,24.4,70.8,21.8,33.26,23.28,22.7,97.5,91,5.1,19,15.2,5.9,7.8,3,0,0,AR,5/22/25,5/25/25,
ATFL,M,3251-02915,BW-OS,Noise,red,PT15,6/9/25,2025,PT15B7,ASY,Eggs,N,0,34.1,69.6,31,38.1,29.2,22.15,94,93,5.3,18.3,14.8,6.25,7.8,3,0,0,TV,5/24/25,5/29/25,
ATFL,M,2921-17891,KS-WW,Noise,orange,PT3,6/20/25,2025,PT3B3,ASY,Eggs,N,0,40,67.8,32.2,39.26,30.08,25.2,107,97,5.1,17.8,16.4,6.4,7.8,3,0,,CM,5/27/25,6/6/25,
ATFL,M,2921-49679,RS-KY,Control,blue,CP02,6/10/25,2025,CP02B15,AHY,Eggs,N,0,39,63.7,37.5,37.51,28.38,24.6,102.5,97,4.8,20.7,16.5,6.4,7.8,1,0,0,TP,5/21/25,5/27/25,
ATFL,M,2921-49673,RR-WS,Control,green,CP05,6/6/25,2025,CP05B3,ASY,Eggs,N,0,31.1,57.2,28.5,35.2,27.33,21.4,109,108,4,18.9,16,1.9,7.9,2,0,0,TP,5/17/25,5/21/25,
ATFL,F,2731-41231,YB-WS,Light+Noise,green,TP07,6/6/25,2025,TP07B12,ASY,Eggs,Y,0.74,37,71.3,32.5,34.86,26.83,21.9,105,94,5.2,17.9,13.7,5.6,7.9,2,0,0,TP,5/21/25,5/27/25,
ATFL,M,2921-17884,RR-WS,Light,yellow,CP12,5/15/25,2025,,ASY,TE,Y,,30,60.3,27.3,,29.79,24,102,97,5.45,20.55,15.7,6.4,7.9,4,0,0.5,JH,,,
